epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,43819.5,2.14106,1.67017,1.08186,0.42137,0.49342,0.45008,0.15256,2.32084,1.6576,1.18834,2.2285e-05,2.2285e-05,2.2285e-05
159,44042.1,2.1235,1.67494,1.07421,0.42961,0.48901,0.44683,0.15031,2.33883,1.64383,1.1965,2.179e-05,2.179e-05,2.179e-05
160,44283.2,2.12481,1.66931,1.08791,0.4177,0.49505,0.45217,0.15298,2.30193,1.65934,1.18515,2.1295e-05,2.1295e-05,2.1295e-05
161,44570.9,2.1296,1.67106,1.07313,0.4312,0.49025,0.45855,0.15412,2.31683,1.65552,1.19193,2.08e-05,2.08e-05,2.08e-05
162,44850.8,2.1228,1.64422,1.07545,0.41368,0.48472,0.43808,0.14772,2.32557,1.70896,1.19192,2.0305e-05,2.0305e-05,2.0305e-05
163,45131.9,2.11684,1.67506,1.08844,0.41652,0.49251,0.4529,0.15203,2.3318,1.63096,1.19717,1.981e-05,1.981e-05,1.981e-05
164,45409.1,2.12696,1.65109,1.07515,0.43939,0.48693,0.45866,0.15628,2.31513,1.67483,1.19096,1.9315e-05,1.9315e-05,1.9315e-05
165,45688.6,2.11997,1.63828,1.06542,0.43518,0.49422,0.45878,0.1556,2.32242,1.6354,1.19235,1.882e-05,1.882e-05,1.882e-05
166,45955.4,2.12348,1.65002,1.07881,0.42128,0.49191,0.44701,0.15145,2.34148,1.65838,1.19757,1.8325e-05,1.8325e-05,1.8325e-05
167,46195.2,2.13732,1.67396,1.0706,0.4185,0.49841,0.45149,0.15204,2.32626,1.67556,1.19735,1.783e-05,1.783e-05,1.783e-05
168,46426.6,2.12667,1.65591,1.08,0.43152,0.50555,0.4675,0.15863,2.30184,1.62465,1.18768,1.7335e-05,1.7335e-05,1.7335e-05
169,46696,2.11286,1.64092,1.07477,0.44172,0.4994,0.46876,0.1582,2.31797,1.63343,1.18876,1.684e-05,1.684e-05,1.684e-05
